ID	genus (exp.)	section (exp.)	species (exp.)	genus (class.)	section (class.)	species (class.)	Match
518	Paphiopedilum	Barbata	wardii	Paphiopedilum		hennisianum	-
519	Paphiopedilum	Barbata	wardii	Paphiopedilum	Barbata		-
1046	Phragmipedium	Micropetalum	besseae	Paphiopedilum	Micropetalum	besseae	-
25	Cypripedium	Cypripedium	calcicola	Paphiopedilum	Cypripedium		-
544	Paphiopedilum	Parvisepalum	micranthum	Paphiopedilum	Parvisepalum	micranthum	+
545	Paphiopedilum	Parvisepalum	micranthum	Paphiopedilum	Parvisepalum	micranthum	+
546	Paphiopedilum	Parvisepalum	micranthum	Paphiopedilum		micranthum	-
547	Paphiopedilum	Parvisepalum	micranthum	Paphiopedilum	Parvisepalum	micranthum	+
1064	Phragmipedium	Micropetalum	schlimii	Phragmipedium	Micropetalum	schlimii	+
1065	Phragmipedium	Micropetalum	schlimii	Paphiopedilum	Micropetalum	schlimii	-
46	Cypripedium	Cypripedium	tibeticum			tibeticum	-
47	Cypripedium	Cypripedium	tibeticum	Cypripedium	Cypripedium	tibeticum	+
580	Paphiopedilum	Parvisepalum	armeniacum	Paphiopedilum	Parvisepalum	armeniacum	+
581	Paphiopedilum	Parvisepalum	armeniacum	Cypripedium	Parvisepalum	armeniacum	-
582	Paphiopedilum	Parvisepalum	armeniacum	Paphiopedilum	Parvisepalum	armeniacum	+
77	Cypripedium	Obtusipetala	flavum	Paphiopedilum	Obtusipetala	flavum	-
78	Cypripedium	Obtusipetala	flavum	Paphiopedilum	Obtusipetala	flavum	-
1107	Phragmipedium	Phragmipedium	ritchteri		Phragmipedium	ritchteri	-
612	Paphiopedilum	Parvisepalum	delenatii	Cypripedium	Barbata	delenatii	-
105	Cypripedium	Trigonopedia	sichuanense	Cypripedium	Trigonopedia	sichuanense	+
628	Paphiopedilum	Parvisepalum	malipoense	Paphiopedilum	Parvisepalum	malipoense	+
629	Paphiopedilum	Parvisepalum	malipoense	Paphiopedilum	Parvisepalum	malipoense	+
630	Paphiopedilum	Parvisepalum	malipoense	Paphiopedilum	Barbata		-
819	Paphiopedilum	Paphiopedilum	barbigerum	Paphiopedilum	Barbata		-
135	Cypripedium	Sinopedilum	bardolphianum	Paphiopedilum		bardolphianum	-
654	Paphiopedilum	Parvisepalum	emersonii	Paphiopedilum		emersonii	-
655	Paphiopedilum	Parvisepalum	emersonii	Paphiopedilum		emersonii	-
161	Paphiopedilum	Coryopedilum	rothschildianum	Cypripedium	Paphiopedilum	philippinense	-
674	Paphiopedilum	Paphiopedilum	insigne	Phragmipedium, Cypripedium	Cochlopetalum	druryi	-
690	Paphiopedilum	Paphiopedilum	fairrieanum	Paphiopedilum	Paphiopedilum	spicerianum, fairrieanum	+
691	Paphiopedilum	Paphiopedilum	fairrieanum	Paphiopedilum	Paphiopedilum	fairrieanum	+
180	Paphiopedilum	Coryopedilum	philippinense	Paphiopedilum	Pardalopetalum, Paphiopedilum	philippinense	-
704	Paphiopedilum	Paphiopedilum	villosum	Paphiopedilum	Paphiopedilum	insigne	-
705	Paphiopedilum	Paphiopedilum	villosum	Paphiopedilum	Paphiopedilum	tigrinum	-
724	Paphiopedilum	Paphiopedilum	tigrinum	Paphiopedilum		villosum	-
462	Paphiopedilum	Barbata	purpuratum		Barbata	wardii	-
221	Paphiopedilum	Barbata	barbatum	Paphiopedilum	Barbata		-
222	Paphiopedilum	Barbata	barbatum	Paphiopedilum	Paphiopedilum	callosum	-
