ID	genus (exp.)	section (exp.)	species (exp.)	genus (class.)	section (class.)	species (class.)	Match
737	Paphiopedilum	Paphiopedilum	spicerianum	Paphiopedilum		charlesworthii, spicerianum	-
738	Paphiopedilum	Paphiopedilum	spicerianum	Paphiopedilum	Paphiopedilum	charlesworthii, spicerianum	+
757	Paphiopedilum	Paphiopedilum	helenae	Paphiopedilum	Paphiopedilum	helenae, insigne	+
246	Paphiopedilum	Barbata	violascens	Paphiopedilum			-
247	Paphiopedilum	Barbata	violascens	Paphiopedilum	Barbata	violascens	+
770	Paphiopedilum	Paphiopedilum	druryi	Paphiopedilum	Barbata	druryi	-
261	Paphiopedilum	Barbata	tonsum	Paphiopedilum	Barbata	tonsum	+
262	Paphiopedilum	Barbata	tonsum	Paphiopedilum		callosum	-
783	Paphiopedilum	Paphiopedilum	henryanum	Paphiopedilum	Paphiopedilum	henryanum	+
784	Paphiopedilum	Paphiopedilum	henryanum	Paphiopedilum		henryanum	-
796	Paphiopedilum	Paphiopedilum	gratrixianum	Paphiopedilum			-
285	Paphiopedilum	Barbata	bullenianum	Paphiopedilum	Barbata	bullenianum	+
806	Paphiopedilum	Paphiopedilum	charlesworthii	Paphiopedilum	Paphiopedilum	charlesworthii, gratrixianum	+
306	Paphiopedilum	Barbata	urbanianum	Paphiopedilum	Barbata	urbanianum	+
307	Paphiopedilum	Barbata	urbanianum	Paphiopedilum			-
832	Paphiopedilum	Paphiopedilum	exul	Paphiopedilum	Barbata	druryi, hirsutissimum	-
833	Paphiopedilum	Paphiopedilum	exul	Paphiopedilum	Barbata, Paphiopedilum		-
326	Paphiopedilum	Barbata	sukhakulii	Paphiopedilum	Barbata		-
327	Paphiopedilum	Barbata	sukhakulii	Paphiopedilum	Barbata	lawrenceanum, urbanianum	-
847	Paphiopedilum	Paphiopedilum	hirsutissimum	Paphiopedilum		hirsutissimum	-
848	Paphiopedilum	Paphiopedilum	hirsutissimum	Paphiopedilum			-
343	Paphiopedilum	Barbata	fowliei	Paphiopedilum	Barbata		-
864	Paphiopedilum	Brachypetalum	concolor	Paphiopedilum	Brachypetalum	concolor	+
865	Paphiopedilum	Brachypetalum	concolor	Paphiopedilum	Brachypetalum	concolor	+
363	Paphiopedilum	Barbata	callosum	Paphiopedilum	Barbata		-
364	Paphiopedilum	Barbata	callosum	Paphiopedilum	Paphiopedilum	hennisianum	-
881	Paphiopedilum	Brachypetalum	bellatulum	Cypripedium	Pardalopetalum	bellatulum	-
376	Paphiopedilum	Barbata	venustum	Paphiopedilum			-
894	Paphiopedilum	Brachypetalum	niveum	Paphiopedilum	Barbata	godefroyae, bellatulum, concolor	-
895	Paphiopedilum	Brachypetalum	niveum	Paphiopedilum	Brachypetalum	niveum	+
387	Paphiopedilum	Barbata	argus	Paphiopedilum	Barbata		-
913	Paphiopedilum	Brachypetalum	godefroyae	Paphiopedilum	Barbata		-
407	Paphiopedilum	Barbata	dayanum	Paphiopedilum	Barbata		-
419	Paphiopedilum	Barbata	lawrenceanum	Paphiopedilum	Barbata		-
943	Paphiopedilum	Pardalopetalum	haynaldianum	Paphiopedilum	Barbata	haynaldianum	-
435	Paphiopedilum	Barbata	hookerae	Paphiopedilum	Barbata		-
956	Paphiopedilum	Pardalopetalum	lowii	Paphiopedilum		haynaldianum	-
957	Paphiopedilum	Pardalopetalum	lowii	Paphiopedilum	Barbata	lowii	-
448	Paphiopedilum	Barbata	superbiens				-
673	Paphiopedilum	Paphiopedilum	insigne	Paphiopedilum	Paphiopedilum	gratrixianum	-
461	Paphiopedilum	Barbata	purpuratum	Paphiopedilum	Barbata	hookerae, callosum, tonsum	-
974	Paphiopedilum	Cochlopetalum	primulinum	Paphiopedilum	Cochlopetalum, Paphiopedilum	primulinum	+
975	Paphiopedilum	Cochlopetalum	primulinum	Paphiopedilum	Cochlopetalum	primulinum	+
993	Paphiopedilum	Cochlopetalum	glaucophyllum	Paphiopedilum	Cochlopetalum		-
994	Paphiopedilum	Cochlopetalum	glaucophyllum	Paphiopedilum	Parvisepalum	liemianum	-
490	Paphiopedilum	Barbata	acmodontum	Paphiopedilum	Barbata	violascens, urbanianum, tonsum	-
503	Paphiopedilum	Barbata	hennisianum	Paphiopedilum			-
504	Paphiopedilum	Barbata	hennisianum	Paphiopedilum		hennisianum	-
1020	Paphiopedilum	Cochlopetalum	liemianum	Paphiopedilum		liemianum	-
1021	Paphiopedilum	Cochlopetalum	liemianum	Paphiopedilum	Paphiopedilum, Cochlopetalum	glaucophyllum	-
