ID	genus (exp.)	section (exp.)	species (exp.)	genus (class.)	section (class.)	species (class.)	Match
896	Paphiopedilum	Brachypetalum	niveum	Paphiopedilum	Brachypetalum	niveum, godefroyae	+
897	Paphiopedilum	Brachypetalum	niveum	Paphiopedilum	Brachypetalum	niveum	+
1108	Phragmipedium	Phragmipedium	ritchteri	Paphiopedilum	Phragmipedium	ritchteri	-
771	Paphiopedilum	Paphiopedilum	druryi	Paphiopedilum	Parvisepalum, Barbata	gratrixianum, druryi	-
388	Paphiopedilum	Barbata	argus	Paphiopedilum	Barbata	hennisianum	-
520	Paphiopedilum	Barbata	wardii	Paphiopedilum	Barbata		-
263	Paphiopedilum	Barbata	tonsum	Paphiopedilum	Paphiopedilum	tonsum	-
136	Cypripedium	Sinopedilum	bardolphianum	Cypripedium	Obtusipetala, Sinopedilum	bardolphianum	+
521	Paphiopedilum	Barbata	wardii	Paphiopedilum	Barbata		-
1047	Phragmipedium	Micropetalum	besseae	Phragmipedium, Paphiopedilum	Micropetalum	besseae	+
807	Paphiopedilum	Paphiopedilum	charlesworthii	Paphiopedilum	Parvisepalum, Paphiopedilum		-
834	Paphiopedilum	Paphiopedilum	exul	Paphiopedilum	Barbata		-
656	Paphiopedilum	Parvisepalum	emersonii		Brachypetalum	emersonii	-
657	Paphiopedilum	Parvisepalum	emersonii	Paphiopedilum		emersonii	-
786	Paphiopedilum	Paphiopedilum	henryanum	Paphiopedilum	Paphiopedilum		-
707	Paphiopedilum	Paphiopedilum	villosum	Paphiopedilum	Paphiopedilum	villosum	+
820	Paphiopedilum	Paphiopedilum	barbigerum	Paphiopedilum	Paphiopedilum	barbigerum	+
976	Paphiopedilum	Cochlopetalum	primulinum	Paphiopedilum	Cochlopetalum	glaucophyllum, primulinum	+
849	Paphiopedilum	Paphiopedilum	hirsutissimum	Paphiopedilum	Paphiopedilum	villosum, hirsutissimum	+
408	Paphiopedilum	Barbata	dayanum	Cypripedium	Barbata	dayanum	-
26	Cypripedium	Cypripedium	calcicola	Paphiopedilum			-
797	Paphiopedilum	Paphiopedilum	gratrixianum	Paphiopedilum	Barbata	barbigerum	-
286	Paphiopedilum	Barbata	bullenianum	Paphiopedilum	Barbata, Pardalopetalum	bullenianum	+
944	Paphiopedilum	Pardalopetalum	haynaldianum	Paphiopedilum	Barbata	lowii	-
162	Paphiopedilum	Coryopedilum	rothschildianum	Paphiopedilum		philippinense	-
675	Paphiopedilum	Paphiopedilum	insigne	Paphiopedilum	Paphiopedilum	insigne	+
420	Paphiopedilum	Barbata	lawrenceanum	Paphiopedilum	Barbata	urbanianum	-
549	Paphiopedilum	Parvisepalum	micranthum	Paphiopedilum	Parvisepalum	micranthum	+
550	Paphiopedilum	Parvisepalum	micranthum	Paphiopedilum	Parvisepalum	micranthum	+
551	Paphiopedilum	Parvisepalum	micranthum	Paphiopedilum	Parvisepalum	micranthum	+
584	Paphiopedilum	Parvisepalum	armeniacum	Paphiopedilum	Parvisepalum		-
740	Paphiopedilum	Paphiopedilum	spicerianum	Paphiopedilum	Paphiopedilum, Barbata		-
977	Paphiopedilum	Cochlopetalum	primulinum	Paphiopedilum	Cochlopetalum, Paphiopedilum	primulinum	+
48	Cypripedium	Cypripedium	tibeticum	Phragmipedium	Cypripedium	calcicola	-
49	Cypripedium	Cypripedium	tibeticum	Paphiopedilum	Cypripedium	calcicola	-
692	Paphiopedilum	Paphiopedilum	fairrieanum	Paphiopedilum	Barbata		-
308	Paphiopedilum	Barbata	urbanianum	Paphiopedilum	Barbata	urbanianum, callosum	+
309	Paphiopedilum	Barbata	urbanianum	Paphiopedilum			-
585	Paphiopedilum	Parvisepalum	armeniacum	Paphiopedilum	Parvisepalum	armeniacum	+
436	Paphiopedilum	Barbata	hookerae	Paphiopedilum			-
995	Paphiopedilum	Cochlopetalum	glaucophyllum	Paphiopedilum	Paphiopedilum, Coryopedilum	liemianum	-
914	Paphiopedilum	Brachypetalum	godefroyae	Paphiopedilum	Brachypetalum	niveum	-
181	Paphiopedilum	Coryopedilum	philippinense	Paphiopedilum	Coryopedilum	philippinense	+
449	Paphiopedilum	Barbata	superbiens	Paphiopedilum		purpuratum	-
706	Paphiopedilum	Paphiopedilum	villosum	Paphiopedilum		fairrieanum	-
505	Paphiopedilum	Barbata	hennisianum	Paphiopedilum	Barbata	lawrenceanum	-
583	Paphiopedilum	Parvisepalum	armeniacum	Paphiopedilum	Parvisepalum	armeniacum	+
328	Paphiopedilum	Barbata	sukhakulii	Paphiopedilum			-
329	Paphiopedilum	Barbata	sukhakulii	Paphiopedilum	Barbata	sukhakulii	+
79	Cypripedium	Obtusipetala	flavum	Cypripedium	Obtusipetala	flavum	+
80	Cypripedium	Obtusipetala	flavum	Paphiopedilum		flavum	-
632	Paphiopedilum	Parvisepalum	malipoense	Paphiopedilum	Parvisepalum	malipoense	+
676	Paphiopedilum	Paphiopedilum	insigne	Paphiopedilum	Paphiopedilum		-
1067	Phragmipedium	Micropetalum	schlimii	Paphiopedilum	Micropetalum	schlimii	-
725	Paphiopedilum	Paphiopedilum	tigrinum	Paphiopedilum	Barbata	tigrinum	-
377	Paphiopedilum	Barbata	venustum	Paphiopedilum	Barbata	tonsum	-
344	Paphiopedilum	Barbata	fowliei	Paphiopedilum	Barbata	wardii	-
548	Paphiopedilum	Parvisepalum	micranthum	Paphiopedilum	Parvisepalum	micranthum	+
463	Paphiopedilum	Barbata	purpuratum	Paphiopedilum	Barbata		-
996	Paphiopedilum	Cochlopetalum	glaucophyllum		Barbata, Cochlopetalum	liemianum	-
223	Paphiopedilum	Barbata	barbatum	Paphiopedilum		argus, superbiens	-
224	Paphiopedilum	Barbata	barbatum	Paphiopedilum	Barbata		-
464	Paphiopedilum	Barbata	purpuratum	Paphiopedilum		urbanianum, argus	-
866	Paphiopedilum	Brachypetalum	concolor	Paphiopedilum		concolor	-
739	Paphiopedilum	Paphiopedilum	spicerianum	Paphiopedilum		spicerianum	-
633	Paphiopedilum	Parvisepalum	malipoense	Paphiopedilum	Parvisepalum	malipoense	+
613	Paphiopedilum	Parvisepalum	delenatii	Paphiopedilum	Parvisepalum, Brachypetalum	delenatii	+
785	Paphiopedilum	Paphiopedilum	henryanum	Paphiopedilum	Paphiopedilum	villosum, helenae, insigne	-
1022	Paphiopedilum	Cochlopetalum	liemianum	Paphiopedilum	Cochlopetalum	glaucophyllum	-
106	Cypripedium	Trigonopedia	sichuanense	Cypripedium		sichuanense	-
491	Paphiopedilum	Barbata	acmodontum	Paphiopedilum	Barbata	venustum, acmodontum, bullenianum	+
365	Paphiopedilum	Barbata	callosum	Paphiopedilum	Barbata		-
366	Paphiopedilum	Barbata	callosum	Paphiopedilum	Barbata		-
835	Paphiopedilum	Paphiopedilum	exul	Paphiopedilum	Paphiopedilum		-
882	Paphiopedilum	Brachypetalum	bellatulum	Paphiopedilum	Brachypetalum	godefroyae, bellatulum	+
958	Paphiopedilum	Pardalopetalum	lowii	Paphiopedilum	Paphiopedilum	haynaldianum	-
758	Paphiopedilum	Paphiopedilum	helenae		Barbata	hirsutissimum	-
631	Paphiopedilum	Parvisepalum	malipoense	Paphiopedilum	Parvisepalum		-
248	Paphiopedilum	Barbata	violascens	Paphiopedilum	Barbata	violascens	+
249	Paphiopedilum	Barbata	violascens	Paphiopedilum		violascens	-
506	Paphiopedilum	Barbata	hennisianum	Paphiopedilum	Barbata	lawrenceanum	-
959	Paphiopedilum	Pardalopetalum	lowii	Cypripedium	Barbata	lowii	-
1066	Phragmipedium	Micropetalum	schlimii	Paphiopedilum	Micropetalum	schlimii	-
264	Paphiopedilum	Barbata	tonsum	Paphiopedilum	Barbata		-
1023	Paphiopedilum	Cochlopetalum	liemianum	Paphiopedilum		liemianum	-
