ID	genus (exp.)	section (exp.)	species (exp.)	genus (class.)	section (class.)	species (class.)	Match
516	Paphiopedilum	Barbata	wardii	Paphiopedilum	Barbata	wardii	+
517	Paphiopedilum	Barbata	wardii	Paphiopedilum	Coryopedilum	argus	-
1045	Phragmipedium	Micropetalum	besseae		Micropetalum	besseae	-
24	Cypripedium	Cypripedium	calcicola	Paphiopedilum		calcicola	-
540	Paphiopedilum	Parvisepalum	micranthum	Cypripedium	Parvisepalum	micranthum	-
541	Paphiopedilum	Parvisepalum	micranthum	Paphiopedilum	Parvisepalum, Brachypetalum	micranthum	+
542	Paphiopedilum	Parvisepalum	micranthum	Paphiopedilum	Parvisepalum	micranthum	+
543	Paphiopedilum	Parvisepalum	micranthum	Paphiopedilum	Parvisepalum	micranthum	+
1062	Phragmipedium	Micropetalum	schlimii	Phragmipedium	Micropetalum	schlimii	+
1063	Phragmipedium	Micropetalum	schlimii	Paphiopedilum	Micropetalum	schlimii	-
44	Cypripedium	Cypripedium	tibeticum	Cypripedium	Obtusipetala	tibeticum	-
45	Cypripedium	Cypripedium	tibeticum	Paphiopedilum	Cypripedium	calcicola	-
577	Paphiopedilum	Parvisepalum	armeniacum	Paphiopedilum	Parvisepalum	armeniacum	+
578	Paphiopedilum	Parvisepalum	armeniacum	Paphiopedilum	Parvisepalum	armeniacum	+
579	Paphiopedilum	Parvisepalum	armeniacum	Paphiopedilum	Parvisepalum	armeniacum	+
75	Cypripedium	Obtusipetala	flavum	Paphiopedilum	Cypripedium, Obtusipetala	flavum	-
76	Cypripedium	Obtusipetala	flavum	Paphiopedilum	Obtusipetala, Cypripedium	flavum	-
1106	Phragmipedium	Phragmipedium	ritchteri	Cypripedium	Phragmipedium	ritchteri	-
610	Paphiopedilum	Parvisepalum	delenatii	Paphiopedilum	Parvisepalum		-
611	Paphiopedilum	Parvisepalum	delenatii	Paphiopedilum		delenatii	-
104	Cypripedium	Trigonopedia	sichuanense	Cypripedium		sichuanense	-
