ID	genus (exp.)	section (exp.)	species (exp.)	genus (class.)	section (class.)	species (class.)	Match
640	Paphiopedilum	Parvisepalum	malipoense	Paphiopedilum	Parvisepalum	malipoense	+
641	Paphiopedilum	Parvisepalum	malipoense	Paphiopedilum		malipoense	-
642	Paphiopedilum	Parvisepalum	malipoense	Paphiopedilum		malipoense	-
1028	Paphiopedilum	Cochlopetalum	liemianum	Paphiopedilum		liemianum	-
982	Paphiopedilum	Cochlopetalum	primulinum	Paphiopedilum		primulinum	-
774	Paphiopedilum	Paphiopedilum	druryi	Phragmipedium	Paphiopedilum, Pardalopetalum		-
391	Paphiopedilum	Barbata	argus	Cypripedium		bullenianum	-
139	Cypripedium	Sinopedilum	bardolphianum		Sinopedilum	bardolphianum	-
269	Paphiopedilum	Barbata	tonsum	Paphiopedilum	Barbata	urbanianum	-
270	Paphiopedilum	Barbata	tonsum	Paphiopedilum		tonsum, wardii	-
527	Paphiopedilum	Barbata	wardii	Paphiopedilum	Barbata		-
823	Paphiopedilum	Paphiopedilum	barbigerum	Paphiopedilum	Paphiopedilum	insigne	-
947	Paphiopedilum	Pardalopetalum	haynaldianum	Paphiopedilum		haynaldianum	-
789	Paphiopedilum	Paphiopedilum	henryanum	Paphiopedilum		henryanum	-
662	Paphiopedilum	Parvisepalum	emersonii	Paphiopedilum	Brachypetalum, Barbata	malipoense	-
663	Paphiopedilum	Parvisepalum	emersonii	Paphiopedilum		emersonii	-
964	Paphiopedilum	Pardalopetalum	lowii	Phragmipedium	Brachypetalum	haynaldianum	-
1050	Phragmipedium	Micropetalum	besseae	Phragmipedium	Micropetalum	besseae	+
411	Paphiopedilum	Barbata	dayanum	Paphiopedilum	Barbata	superbiens	-
29	Cypripedium	Cypripedium	calcicola	Paphiopedilum	Obtusipetala, Cypripedium	tibeticum	-
1029	Paphiopedilum	Cochlopetalum	liemianum	Paphiopedilum	Parvisepalum, Pardalopetalum	liemianum	-
800	Paphiopedilum	Paphiopedilum	gratrixianum	Paphiopedilum	Paphiopedilum	gratrixianum	+
289	Paphiopedilum	Barbata	bullenianum	Paphiopedilum	Barbata	sukhakulii, acmodontum	-
526	Paphiopedilum	Barbata	wardii	Paphiopedilum	Barbata	wardii	+
165	Paphiopedilum	Coryopedilum	rothschildianum	Paphiopedilum		rothschildianum	-
423	Paphiopedilum	Barbata	lawrenceanum	Paphiopedilum	Barbata		-
681	Paphiopedilum	Paphiopedilum	insigne	Paphiopedilum			-
810	Paphiopedilum	Paphiopedilum	charlesworthii	Paphiopedilum	Paphiopedilum	charlesworthii	+
903	Paphiopedilum	Brachypetalum	niveum	Paphiopedilum	Brachypetalum		-
902	Paphiopedilum	Brachypetalum	niveum	Paphiopedilum	Parvisepalum	godefroyae	-
560	Paphiopedilum	Parvisepalum	micranthum	Paphiopedilum	Cochlopetalum	micranthum, malipoense	-
561	Paphiopedilum	Parvisepalum	micranthum	Paphiopedilum	Parvisepalum	micranthum	+
562	Paphiopedilum	Parvisepalum	micranthum	Paphiopedilum	Parvisepalum, Paphiopedilum	micranthum	+
563	Paphiopedilum	Parvisepalum	micranthum	Paphiopedilum		micranthum	-
54	Cypripedium	Cypripedium	tibeticum		Sinopedilum	tibeticum	-
55	Cypripedium	Cypripedium	tibeticum	Paphiopedilum	Cypripedium	tibeticum	-
184	Paphiopedilum	Coryopedilum	philippinense	Paphiopedilum	Barbata	rothschildianum	-
314	Paphiopedilum	Barbata	urbanianum	Paphiopedilum	Barbata	urbanianum	+
315	Paphiopedilum	Barbata	urbanianum	Paphiopedilum	Barbata		-
695	Paphiopedilum	Paphiopedilum	fairrieanum	Paphiopedilum			-
452	Paphiopedilum	Barbata	superbiens	Paphiopedilum	Coryopedilum		-
