ID	genus (exp.)	section (exp.)	species (exp.)	genus (class.)	section (class.)	species (class.)	Match
1024	Paphiopedilum	Cochlopetalum	liemianum	Paphiopedilum		liemianum	-
1025	Paphiopedilum	Cochlopetalum	liemianum	Paphiopedilum	Coryopedilum	liemianum	-
898	Paphiopedilum	Brachypetalum	niveum	Paphiopedilum		godefroyae	-
899	Paphiopedilum	Brachypetalum	niveum	Cypripedium	Brachypetalum, Parvisepalum		-
772	Paphiopedilum	Paphiopedilum	druryi	Paphiopedilum	Barbata		-
389	Paphiopedilum	Barbata	argus	Paphiopedilum	Barbata	argus	+
883	Paphiopedilum	Brachypetalum	bellatulum	Paphiopedilum	Pardalopetalum		-
137	Cypripedium	Sinopedilum	bardolphianum	Cypripedium	Cypripedium	bardolphianum	-
266	Paphiopedilum	Barbata	tonsum	Paphiopedilum	Barbata		-
523	Paphiopedilum	Barbata	wardii	Paphiopedilum	Barbata	wardii	+
742	Paphiopedilum	Paphiopedilum	spicerianum	Paphiopedilum	Paphiopedilum, Cochlopetalum	hirsutissimum, helenae	-
658	Paphiopedilum	Parvisepalum	emersonii	Paphiopedilum	Parvisepalum	emersonii	+
659	Paphiopedilum	Parvisepalum	emersonii	Paphiopedilum	Brachypetalum, Coryopedilum	emersonii	-
708	Paphiopedilum	Paphiopedilum	villosum	Paphiopedilum	Paphiopedilum		-
836	Paphiopedilum	Paphiopedilum	exul	Paphiopedilum	Paphiopedilum		-
409	Paphiopedilum	Barbata	dayanum	Paphiopedilum	Barbata	wardii, barbatum	-
27	Cypripedium	Cypripedium	calcicola	Paphiopedilum		tibeticum	-
265	Paphiopedilum	Barbata	tonsum	Paphiopedilum	Barbata		-
798	Paphiopedilum	Paphiopedilum	gratrixianum	Paphiopedilum	Paphiopedilum, Barbata	exul, gratrixianum	+
287	Paphiopedilum	Barbata	bullenianum	Paphiopedilum	Barbata	sukhakulii	-
163	Paphiopedilum	Coryopedilum	rothschildianum	Paphiopedilum	Barbata	rothschildianum	-
421	Paphiopedilum	Barbata	lawrenceanum	Paphiopedilum	Barbata		-
678	Paphiopedilum	Paphiopedilum	insigne	Paphiopedilum			-
552	Paphiopedilum	Parvisepalum	micranthum	Paphiopedilum		micranthum	-
553	Paphiopedilum	Parvisepalum	micranthum	Paphiopedilum		micranthum	-
554	Paphiopedilum	Parvisepalum	micranthum	Paphiopedilum	Parvisepalum	micranthum	+
555	Paphiopedilum	Parvisepalum	micranthum	Paphiopedilum	Parvisepalum	micranthum	+
