ID	genus (exp.)	section (exp.)	species (exp.)	genus (class.)	section (class.)	species (class.)	Match
1	Troides			Troides			+
2	Troides						-
3	Troides						-
4	Troides						-
5	Troides						-
6	Troides						-
7	Troides						-
8	Troides			Troides			+
9	Troides			Troides			+
10	Troides						-
11	Troides			Troides			+
533	Papilio		polytes	Papilio		polytes	+
534	Papilio		polytes	Papilio		polytes	+
23	Graphium		adonarensis	Graphium		adonarensis	+
24	Graphium		adonarensis	Graphium		adonarensis	+
25	Graphium		adonarensis	Graphium		adonarensis	+
26	Graphium		adonarensis	Graphium		adonarensis	+
27	Graphium		adonarensis	Graphium			-
28	Graphium		adonarensis	Graphium		adonarensis	+
29	Graphium		adonarensis			adonarensis	-
30	Graphium		adonarensis	Graphium		adonarensis	+
31	Graphium		adonarensis	Graphium		adonarensis	+
32	Graphium		adonarensis	Graphium		adonarensis	+
33	Graphium		adonarensis	Graphium		adonarensis	+
34	Graphium		adonarensis	Graphium			-
35	Graphium		adonarensis	Graphium		adonarensis	+
36	Graphium		adonarensis	Graphium		adonarensis	+
37	Graphium		adonarensis	Graphium		adonarensis	+
38	Graphium		adonarensis	Graphium		adonarensis	+
39	Graphium		adonarensis	Graphium		adonarensis	+
40	Graphium		adonarensis	Graphium		adonarensis	+
41	Graphium		adonarensis	Graphium		adonarensis	+
42	Graphium		adonarensis	Graphium		adonarensis	+
43	Graphium		adonarensis	Graphium		adonarensis	+
44	Graphium		adonarensis	Graphium		adonarensis	+
45	Graphium		adonarensis	Graphium			-
46	Graphium		adonarensis	Graphium		adonarensis	+
47	Graphium		adonarensis	Graphium		adonarensis	+
560	Papilio		polytes	Papilio		polytes	+
547	Papilio		polytes	Papilio		polytes	+
562	Papilio		polytes	Papilio		polytes	+
563	Papilio		polytes	Papilio		polytes	+
540	Papilio		polytes			polytes	-
565	Papilio		polytes			polytes	-
566	Papilio		polytes			polytes	-
567	Papilio		polytes	Papilio		polytes	+
568	Papilio		polytes			polytes	-
569	Papilio		polytes	Papilio			-
570	Papilio		polytes	Papilio		polytes	+
571	Papilio		polytes	Papilio		polytes	+
555	Papilio		polytes			polytes	-
73	Graphium		agamemnon	Graphium			-
74	Graphium		agamemnon	Graphium		agamemnon	+
75	Graphium		agamemnon	Graphium		agamemnon	+
76	Graphium		agamemnon	Graphium		agamemnon	+
77	Graphium		agamemnon	Graphium		agamemnon	+
78	Graphium		agamemnon	Graphium			-
79	Graphium		agamemnon	Graphium		agamemnon	+
80	Graphium		agamemnon	Graphium		agamemnon	+
81	Graphium		agamemnon	Graphium			-
82	Graphium		agamemnon	Graphium		agamemnon	+
83	Graphium		agamemnon	Graphium		agamemnon	+
84	Graphium		agamemnon	Graphium		agamemnon	+
85	Graphium		agamemnon	Graphium		agamemnon	+
86	Graphium		agamemnon	Graphium		agamemnon	+
87	Graphium		agamemnon	Graphium		agamemnon	+
538	Papilio		polytes	Papilio		polytes	+
553	Papilio		polytes	Papilio		polytes	+
102	Graphium		evemon	Graphium			-
103	Graphium		evemon	Graphium		evemon	+
104	Graphium		evemon	Graphium			-
105	Graphium		evemon	Graphium		evemon	+
106	Graphium		evemon	Graphium		evemon	+
107	Graphium		evemon	Graphium			-
108	Graphium		evemon	Graphium		evemon	+
109	Graphium		evemon	Graphium			-
110	Graphium		evemon	Graphium		evemon	+
111	Graphium		evemon	Graphium			-
112	Graphium		evemon	Graphium		evemon	+
113	Graphium		evemon			evemon	-
114	Graphium		evemon	Graphium		evemon	+
115	Graphium		evemon	Graphium		evemon	+
116	Graphium		evemon	Graphium		evemon	+
117	Graphium		evemon	Graphium		evemon	+
118	Graphium		evemon	Graphium		evemon	+
119	Graphium		evemon	Graphium		evemon	+
120	Graphium		evemon	Graphium		evemon	+
121	Graphium		evemon	Graphium		evemon	+
122	Graphium		evemon	Graphium		evemon	+
123	Graphium		evemon	Graphium		evemon	+
535	Papilio		polytes	Papilio			-
145	Graphium		macareus	Graphium		macareus	+
146	Graphium		macareus	Graphium		macareus	+
147	Graphium		macareus			macareus	-
148	Graphium		macareus	Graphium		macareus	+
149	Graphium		macareus	Graphium		macareus	+
150	Graphium		macareus	Graphium		macareus	+
151	Graphium		macareus			macareus	-
152	Graphium		macareus	Graphium		macareus	+
153	Graphium		macareus	Graphium		macareus	+
154	Graphium		macareus			macareus	-
155	Graphium		macareus	Graphium		macareus	+
156	Graphium		macareus	Graphium		macareus	+
157	Graphium		macareus	Graphium		macareus	+
158	Graphium		macareus			macareus	-
159	Graphium		macareus			macareus	-
160	Graphium		macareus	Graphium		macareus	+
161	Graphium		macareus	Graphium		macareus	+
162	Graphium		macareus	Graphium		macareus	+
163	Graphium		macareus			macareus	-
164	Graphium		macareus	Graphium		macareus	+
165	Graphium		macareus	Graphium		macareus	+
166	Graphium		macareus	Graphium		macareus	+
167	Graphium		macareus	Graphium		macareus	+
168	Graphium		macareus			macareus	-
169	Graphium		macareus	Graphium		macareus	+
549	Papilio		polytes			polytes	-
541	Papilio		polytes			polytes	-
542	Papilio		polytes	Papilio		polytes	+
543	Papilio		polytes	Papilio			-
561	Papilio		polytes	Papilio		polytes	+
544	Papilio		polytes	Papilio		polytes	+
195	Graphium		antiphates	Graphium		antiphates	+
196	Graphium		antiphates	Graphium		antiphates	+
197	Graphium		antiphates	Graphium		antiphates	+
198	Graphium		antiphates	Graphium		antiphates	+
199	Graphium		antiphates	Graphium		antiphates	+
200	Graphium		antiphates	Graphium			-
201	Graphium		antiphates	Graphium		antiphates	+
202	Graphium		antiphates	Graphium		antiphates	+
546	Papilio		polytes	Papilio		polytes	+
211	Danaus			Danaus			+
212	Danaus			Danaus			+
213	Danaus			Danaus			+
214	Danaus			Danaus			+
215	Danaus			Danaus			+
216	Danaus			Danaus, Graphium			+
217	Danaus			Danaus			+
218	Danaus			Danaus, Graphium			+
219	Danaus						-
220	Danaus			Danaus			+
221	Danaus			Danaus			+
222	Danaus			Danaus			+
223	Danaus			Danaus			+
224	Danaus			Danaus			+
550	Papilio		polytes	Papilio			-
536	Papilio		polytes			polytes	-
551	Papilio		polytes	Papilio		polytes	+
239	Atrophaneura		coon-male	Atrophaneura			-
240	Atrophaneura		coon-male	Atrophaneura		coon-male	+
241	Atrophaneura		coon-male	Atrophaneura		coon-male	+
242	Atrophaneura		coon-male	Atrophaneura		coon-male	+
243	Atrophaneura		coon-male	Atrophaneura		coon-male	+
244	Atrophaneura		coon-male	Atrophaneura		coon-male	+
245	Atrophaneura		coon-male	Atrophaneura		coon-male	+
246	Atrophaneura		coon-male	Atrophaneura		coon-male	+
247	Atrophaneura		coon-male	Atrophaneura		coon-male	+
248	Atrophaneura		coon-male	Atrophaneura		coon-male	+
249	Atrophaneura		coon-male	Atrophaneura			-
250	Atrophaneura		coon-male	Atrophaneura		coon-male	+
251	Atrophaneura		coon-male	Atrophaneura		coon-male	+
252	Atrophaneura		coon-male	Atrophaneura		coon-male	+
253	Atrophaneura		coon-male	Atrophaneura		coon-male	+
254	Atrophaneura		coon-male	Atrophaneura		coon-male	+
255	Atrophaneura		coon-male	Atrophaneura		coon-male	+
256	Atrophaneura		coon-male	Atrophaneura		coon-male	+
554	Papilio		polytes	Papilio			-
537	Papilio		polytes	Papilio		polytes	+
556	Papilio		polytes	Papilio		polytes	+
557	Papilio		polytes	Papilio		polytes	+
274	Atrophaneura		coon-female	Atrophaneura		coon-male	-
275	Atrophaneura		coon-female				-
276	Atrophaneura		coon-female				-
277	Atrophaneura		coon-female	Atrophaneura		coon-male	-
278	Atrophaneura		coon-female	Atrophaneura		coon-male	-
283	Papilio		paris	Papilio		paris	+
284	Papilio		paris	Papilio		paris	+
285	Papilio		paris	Papilio		paris	+
286	Papilio		paris	Papilio		paris	+
287	Papilio		paris	Papilio		paris	+
288	Papilio		paris	Papilio			-
289	Papilio		paris	Papilio		paris	+
290	Papilio		paris	Papilio		paris	+
291	Papilio		paris	Papilio		paris	+
292	Papilio		paris	Papilio		paris	+
293	Papilio		paris	Papilio		paris	+
294	Papilio		paris	Papilio		paris	+
295	Papilio		paris	Papilio		paris	+
296	Papilio		paris	Papilio		paris	+
297	Papilio		paris	Papilio		paris	+
298	Papilio		paris	Papilio		paris	+
299	Papilio		paris	Papilio		paris	+
300	Papilio		paris	Papilio		paris	+
301	Papilio		paris	Papilio		paris	+
302	Papilio		paris	Papilio		paris	+
303	Papilio		paris	Papilio		paris	+
304	Papilio		paris	Papilio		paris	+
305	Papilio		paris	Papilio		paris	+
306	Papilio		paris	Papilio		paris	+
307	Papilio		paris	Papilio		paris	+
564	Papilio		polytes	Papilio		polytes	+
539	Papilio		polytes	Papilio		polytes	+
333	Papilio		memnon	Papilio		memnon	+
334	Papilio		memnon	Papilio		memnon	+
335	Papilio		memnon	Papilio		memnon	+
336	Papilio		memnon	Papilio		memnon	+
337	Papilio		memnon	Papilio		memnon	+
338	Papilio		memnon	Papilio		memnon	+
339	Papilio		memnon	Papilio		memnon	+
340	Papilio		memnon	Papilio		memnon	+
341	Papilio		memnon	Papilio		memnon	+
342	Papilio		memnon	Atrophaneura		memnon	-
343	Papilio		memnon	Papilio		memnon	+
344	Papilio		memnon			memnon	-
345	Papilio		memnon	Papilio		memnon	+
346	Papilio		memnon	Papilio		memnon	+
347	Papilio		memnon	Papilio		memnon	+
348	Papilio		memnon	Papilio		memnon	+
349	Papilio		memnon	Papilio		memnon	+
350	Papilio		memnon			memnon	-
351	Papilio		memnon	Papilio		memnon	+
352	Papilio		memnon	Papilio		memnon	+
353	Papilio		memnon	Atrophaneura		memnon	-
354	Papilio		memnon	Papilio		memnon	+
355	Papilio		memnon	Papilio		memnon	+
356	Papilio		memnon			memnon	-
357	Papilio		memnon	Papilio		memnon	+
358	Papilio		memnon	Papilio		memnon	+
359	Papilio		memnon	Papilio		memnon	+
360	Papilio		memnon	Papilio		memnon	+
361	Papilio		memnon			memnon	-
362	Papilio		memnon	Papilio		memnon	+
363	Papilio		memnon	Graphium		memnon	-
364	Papilio		memnon	Papilio		memnon	+
365	Papilio		memnon	Papilio		memnon	+
366	Papilio		memnon	Papilio		memnon	+
367	Papilio		memnon	Papilio		memnon	+
368	Papilio		memnon			memnon	-
369	Papilio		memnon	Papilio		memnon	+
370	Papilio		memnon	Papilio		memnon	+
552	Papilio		polytes	Papilio			-
558	Papilio		polytes	Papilio		polytes	+
548	Papilio		polytes	Papilio			-
409	Papilio		helenus	Papilio		helenus	+
410	Papilio		helenus	Papilio		helenus	+
411	Papilio		helenus	Papilio		helenus	+
412	Papilio		helenus	Papilio			-
413	Papilio		helenus	Papilio		helenus	+
414	Papilio		helenus	Papilio		helenus	+
415	Papilio		helenus	Papilio		helenus	+
416	Papilio		helenus	Papilio		helenus	+
417	Papilio		helenus	Papilio		helenus	+
418	Papilio		helenus	Papilio		helenus	+
419	Papilio		helenus	Papilio			-
420	Papilio		helenus	Papilio		helenus	+
421	Papilio		helenus	Papilio		helenus	+
422	Papilio		helenus	Papilio		helenus	+
423	Papilio		helenus	Papilio			-
424	Papilio		helenus	Papilio		helenus	+
425	Papilio		helenus	Papilio		helenus	+
426	Papilio		helenus	Papilio		helenus	+
427	Papilio		helenus	Papilio			-
428	Papilio		helenus	Papilio		helenus	+
429	Papilio		helenus	Papilio		helenus	+
430	Papilio		helenus	Papilio		helenus	+
431	Papilio		helenus				-
432	Papilio		helenus	Papilio		helenus	+
433	Papilio		helenus	Papilio		helenus	+
