ID	genus (exp.)	section (exp.)	species (exp.)	genus (class.)	section (class.)	species (class.)	Match
545	Papilio		polytes	Papilio			-
459	Papilio		peranthus	Papilio		peranthus	+
460	Papilio		peranthus	Papilio		peranthus	+
461	Papilio		peranthus	Papilio		peranthus	+
462	Papilio		peranthus	Papilio		paris, peranthus	+
463	Papilio		peranthus	Papilio		peranthus	+
464	Papilio		peranthus	Papilio		peranthus	+
465	Papilio		peranthus	Papilio		peranthus	+
466	Papilio		peranthus	Papilio		peranthus	+
467	Papilio		peranthus	Papilio		peranthus	+
468	Papilio		peranthus	Papilio		peranthus	+
469	Papilio		peranthus	Papilio		peranthus	+
470	Papilio		peranthus	Papilio		peranthus	+
483	Papilio		demolion	Papilio		demolion	+
484	Papilio		demolion	Papilio		demolion	+
485	Papilio		demolion	Papilio		demolion	+
486	Papilio		demolion	Papilio		demolion	+
487	Papilio		demolion	Papilio		demolion	+
488	Papilio		demolion	Papilio		demolion	+
489	Papilio		demolion	Papilio		demolion	+
490	Papilio		demolion	Papilio			-
491	Papilio		demolion			demolion	-
492	Papilio		demolion			demolion	-
493	Papilio		demolion	Papilio		demolion	+
494	Papilio		demolion	Papilio		demolion	+
495	Papilio		demolion	Papilio		demolion	+
496	Papilio		demolion	Graphium		demolion	-
497	Papilio		demolion	Papilio		demolion	+
498	Papilio		demolion	Papilio		demolion	+
499	Papilio		demolion	Papilio		demolion	+
500	Papilio		demolion	Papilio		demolion	+
501	Papilio		demolion	Papilio		demolion	+
502	Papilio		demolion	Papilio		demolion	+
503	Papilio		demolion			demolion	-
504	Papilio		demolion	Papilio		demolion	+
505	Papilio		demolion	Papilio		demolion	+
506	Papilio		demolion	Papilio			-
507	Papilio		demolion	Papilio		demolion	+
559	Papilio		polytes	Papilio		polytes	+
