reg_number,family,subfamily,tribus,genus,subgenus,species,subspecies,sex ,identifier,id_date,remarks
1275504,Papilionidae,Papilioninae,Papilionini,Papilio,Achillides,paris,gedeensis,M,"Moonen, J.J.M.",2016/03/07,
1275505,Papilionidae,Papilioninae,Papilionini,Papilio,Achillides,peranthus,peranthus,M,"Moonen, J.J.M.",2016/03/07,
1275506,Nymphalidae,Danainae,Danaini,Euploea,,,, ,"Moonen, J.J.M.",2016/03/07,
1275507,Nymphalidae,Danainae,Danaini,Parantica,,aspasia,, ,"Moonen, J.J.M.",2016/03/07,
1275508,Papilionidae,Papilioninae,Papilionini,Papilio,Achillides,karna,karna,M,"Moonen, J.J.M.",2016/03/07,90%
1275509,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,helenus ,enganius,M,"Moonen, J.J.M.",2016/03/07,
1275510,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,helenus ,enganius,M,"Moonen, J.J.M.",2016/03/07,
1275511,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,nephelus,nephelus,M,"Moonen, J.J.M.",2016/03/07,
1275512,Papilionidae,Papilioninae,Papilionini,Papilio,Achillides,karna,karna,M,"Moonen, J.J.M.",2016/03/07,
1275513,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,nephelus,nephelus,M,"Moonen, J.J.M.",2016/03/07,
1275514,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,demolion,demolion,M,"Moonen, J.J.M.",2016/03/07,
1275515,Papilionidae,Papilioninae,Papilionini,Papilio,Achillides,karna,karna,M,"Moonen, J.J.M.",2016/03/07, 
1275516,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,nephelus,nephelus,M,"Moonen, J.J.M.",2016/03/07,
1275517,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,nephelus,nephelus,M,"Moonen, J.J.M.",2016/03/07,
1275518,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,helenus ,enganius,M,"Moonen, J.J.M.",2016/03/07,
1275519,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,helenus ,enganius,M,"Moonen, J.J.M.",2016/03/07,
1275520,Nymphalidae,Danainae,Danaini,Euploea,,mulciber,,F,"Moonen, J.J.M.",2016/03/07,
1275521,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,helenus ,enganius,M,"Moonen, J.J.M.",2016/03/07,
1275522,Nymphalidae,Heliconiinae,Acraeini,Acraea,,vesta,,,"Moonen, J.J.M.",2016/03/07,"see Roepke, Rhop.Javanica(?= Actinote issoria Hb.)"
1275523,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,helenus ,enganius,M,"Moonen, J.J.M.",2016/03/07,
1275524,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,helenus ,enganius,M,"Moonen, J.J.M.",2016/03/07,
1275525,Nymphalidae,Heliconiinae,Acraeini,Acraea,,vesta,,,"Moonen, J.J.M.",2016/03/07,
1275526,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,helenus ,enganius,M,"Moonen, J.J.M.",2016/03/07,
1275527,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,demolion,demolion,M,"Moonen, J.J.M.",2016/03/07,
1275528,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,demolion,demolion,M,"Moonen, J.J.M.",2016/03/07,
1275529,Papilionidae,Papilioninae,Papilionini,Papilio,Achillides,karna,karna,M,"Moonen, J.J.M.",2016/03/07,90%
1275530,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,helenus ,enganius,M,"Moonen, J.J.M.",2016/03/07,
1276260,Nymphalidae,,,,,,,,"Moonen, J.J.M.",2016/03/07,
1276261,Lycaenidae,,,,,,,,"Moonen, J.J.M.",2016/03/07,
1276262,Nymphalidae,,,Vindula,,arsinoe,,,"Moonen, J.J.M.",2016/03/07,
1276263,Nymphalidae,Danainae,Danaini,Euploea,,,,,"Moonen, J.J.M.",2016/03/07,
1276264,Nymphalidae,,,Vindula,,arsinoe,,,"Moonen, J.J.M.",2016/03/07,
1276265,Nymphalidae,,,Cyrestis,,lutea,,,"Moonen, J.J.M.",2016/03/07,
1276266,Nymphalidae,,,Vindula,,arsinoe,,,"Moonen, J.J.M.",2016/03/07,
1276267,Nymphalidae,,,Cyrestis,,lutea,,,"Moonen, J.J.M.",2016/03/07,
1276268,Nymphalidae,,,,,,,,"Moonen, J.J.M.",2016/03/07,
1276269,Nymphalidae,,,Cyrestis,,lutea,,,"Moonen, J.J.M.",2016/03/07,
1276270,Nymphalidae,,,Vindula,,arsinoe,,,"Moonen, J.J.M.",2016/03/07,
1276271,Nymphalidae,,,Cyrestis,,lutea,,,"Moonen, J.J.M.",2016/03/07,
1276272,Nymphalidae,Danainae,Danaini,Danaus,,chrysippus,,,"Moonen, J.J.M.",2016/03/07,
1276273,Nymphalidae,Danainae,Danaini,Danaus,,chrysippus,,,"Moonen, J.J.M.",2016/03/07,
1276274,Nymphalidae,Danainae,Danaini,Euploea,,mulciber,,F,"Moonen, J.J.M.",2016/03/07,
1276275,Lycaenidae,,,,,,,,"Moonen, J.J.M.",2016/03/07,
1276276,Nymphalidae,Danainae,Danaini,Danaus,,chrysippus,,,"Moonen, J.J.M.",2016/03/07,
1276277,Pieridae,,,Appias,,(indra) leptis,,,"Moonen, J.J.M.",2016/03/07,
1276278,Nymphalidae,,,Vindula,,arsinoe,,,"Moonen, J.J.M.",2016/03/07,
1276279,Pieridae,,,Appias,,nero,,,"Moonen, J.J.M.",2016/03/07,
1276280,Nymphalidae,,,Vindula,,arsinoe,,,"Moonen, J.J.M.",2016/03/07,
1276281,Nymphalidae,Danainae,Danaini,Danaus,,chrysippus,,,"Moonen, J.J.M.",2016/03/07,
1276282,Nymphalidae,Danainae,Danaini,Danaus,,chrysippus,,,"Moonen, J.J.M.",2016/03/07,
1276283,Nymphalidae,,,,,,,,"Moonen, J.J.M.",2016/03/07,
1276284,Nymphalidae,Danainae,Danaini,Danaus,,chrysippus,,,"Moonen, J.J.M.",2016/03/07,
1276285,Nymphalidae,Danainae,Danaini,Danaus,,chrysippus,,,"Moonen, J.J.M.",2016/03/07,
1276286,Nymphalidae,Danainae,Danaini,Danaus,,chrysippus,,,"Moonen, J.J.M.",2016/03/07,
1276287,Nymphalidae,Danainae,Danaini,Danaus,,chrysippus,,,"Moonen, J.J.M.",2016/03/07,
1276288,Nymphalidae,Danainae,Danaini,Euploea,,rhadamanthus (= diocletianus),,,"Moonen, J.J.M.",2016/03/07,
1276289,Pieridae,,,Appias,,indra (lucasi),,,"Moonen, J.J.M.",2016/03/07,
1276290,Nymphalidae,,,Vindula,,arsinoe,,,"Moonen, J.J.M.",2016/03/07,
1276291,Hesperiidae,,,,,,,,"Moonen, J.J.M.",2016/03/07,
1276292,Pieridae,,,Appias,,nero,,,"Moonen, J.J.M.",2016/03/07,
1276293,Nymphalidae,Danainae,Danaini,Euploea,,rhadamanthus (= diocletianus),,,"Moonen, J.J.M.",2016/03/07,
1276294,Hesperiidae,,,,,,,,"Moonen, J.J.M.",2016/03/07,
1276295,Pieridae,,,Appias,,(indra) leptis,,,"Moonen, J.J.M.",2016/03/07,
1276296,Nymphalidae,,,,,,,,"Moonen, J.J.M.",2016/03/07,
1276297,Lycaenidae,,,,,,,,"Moonen, J.J.M.",2016/03/07,
1276298,Nymphalidae,Danainae,Danaini,Parantica,,,,,"Moonen, J.J.M.",2016/03/07,
1276299,Pieridae,,,Appias,,indra (lucasi),,,"Moonen, J.J.M.",2016/03/07,
1276300,Nymphalidae,,,,,,,,"Moonen, J.J.M.",2016/03/07,
1276301,Nymphalidae,Danainae,Danaini,Euploea,,rhadamanthus (= diocletianus),,,"Moonen, J.J.M.",2016/03/07,
1276302,Pieridae,,,Cepora,,iudith,,,"Moonen, J.J.M.",2016/03/07,
1276303,Pieridae,,,Appias,,nero,,,"Moonen, J.J.M.",2016/03/07,
1276304,Nymphalidae,Danainae,Danaini,Danaus,,chrysippus,,,"Moonen, J.J.M.",2016/03/07,
1276305,Nymphalidae,Danainae,Danaini,Danaus,,chrysippus,,,"Moonen, J.J.M.",2016/03/07,
1276306,Pieridae,,,Appias,,nero,,,"Moonen, J.J.M.",2016/03/07,
1276307,Nymphalidae,Danainae,Danaini,Danaus,,chrysippus,,,"Moonen, J.J.M.",2016/03/07,
1276308,Pieridae,,,Cepora,,iudith,,,"Moonen, J.J.M.",2016/03/07,
1276309,Riodinidae,,,Zemeros,,flegyas,,,"Moonen, J.J.M.",2016/03/07,name correct?
1276310,Nymphalidae,Danainae,Danaini,Danaus,,chrysippus,,,"Moonen, J.J.M.",2016/03/07,
1276311,Nymphalidae,,,Neorina,,crishna,,,"Moonen, J.J.M.",2016/03/07,need to check
1276312,Riodinidae,,,Zemeros,,flegyas,,,"Moonen, J.J.M.",2016/03/07,
1276313,Nymphalidae,Satyrinae,,Ragadia,,crisia,,,"Moonen, J.J.M.",2016/03/07,
1276314,Nymphalidae,Satyrinae,,Ragadia,,crisia,,,"Moonen, J.J.M.",2016/03/07,
1276315,Nymphalidae,Danainae,Danaini,Danaus,,chrysippus,,,"Moonen, J.J.M.",2016/03/07,
1276316,Nymphalidae,,,Vindula,,arsinoe,,,"Moonen, J.J.M.",2016/03/07,
1276317,Lycaenidae,,,,,,,,"Moonen, J.J.M.",2016/03/07,
1276318,Nymphalidae,Danainae,Danaini,Ideopsis,,juventa,,,"Moonen, J.J.M.",2016/03/07,
1276319,Nymphalidae,Danainae,Danaini,Ideopsis,,juventa,,,"Moonen, J.J.M.",2016/03/07,
1276320,Nymphalidae,Danainae,Danaini,Danaus,,chrysippus,,,"Moonen, J.J.M.",2016/03/07,
1276321,Pieridae,,,Appias,,(indra) leptis,,,"Moonen, J.J.M.",2016/03/07,
1276322,Hesperiidae,,,,,,,,"Moonen, J.J.M.",2016/03/07,
1276323,Nymphalidae,Danainae,Danaini,Danaus,,chrysippus,,,"Moonen, J.J.M.",2016/03/07,
1276441,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,helenus ,enganius,M,"Moonen, J.J.M.",2016/03/07,
1276442,Papilionidae,Papilioninae,Papilionini,Papilio,Achillides,paris,gedeensis,M,"Moonen, J.J.M.",2016/03/07,
1276443,Papilionidae,Papilioninae,Leptocircini,Graphium,Pathysa,macareus,macareus,M,"Moonen, J.J.M.",2016/03/07,
1276444,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,helenus ,enganius,M,"Moonen, J.J.M.",2016/03/07,
1276445,Papilionidae,Papilioninae,Papilionini,Papilio,Achillides,paris,gedeensis,M,"Moonen, J.J.M.",2016/03/07,
1276446,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,helenus ,enganius,M,"Moonen, J.J.M.",2016/03/07,
1276447,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,evemon,evemon,M,"Moonen, J.J.M.",2016/03/07,
1276448,Papilionidae,Papilioninae,Leptocircini,Graphium,Pathysa,macareus,macareus,M,"Moonen, J.J.M.",2016/03/07,
1276449,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,helenus ,enganius,M,"Moonen, J.J.M.",2016/03/07,
1276450,Papilionidae,Papilioninae,Papilionini,Papilio,Achillides,paris,gedeensis,M,"Moonen, J.J.M.",2016/03/07,
1276451,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,helenus ,enganius,M,"Moonen, J.J.M.",2016/03/07,
1276452,Papilionidae,Papilioninae,Leptocircini,Graphium,Pathysa,macareus,macareus,M,"Moonen, J.J.M.",2016/03/07,
1276453,Papilionidae,Papilioninae,Papilionini,Papilio,Achillides,paris,gedeensis,M,"Moonen, J.J.M.",2016/03/07,
1276454,Papilionidae,Papilioninae,Papilionini,Papilio,Achillides,paris,gedeensis,M,"Moonen, J.J.M.",2016/03/07,
1276455,Papilionidae,Papilioninae,Leptocircini,Graphium,Pathysa,macareus,macareus,M,"Moonen, J.J.M.",2016/03/07,
1276456,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,helenus ,enganius,M,"Moonen, J.J.M.",2016/03/07,
1276457,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,polytes,javanus,M,"Moonen, J.J.M.",2016/03/07,
1276458,Papilionidae,Papilioninae,Leptocircini,Graphium,Pathysa,macareus,macareus,M,"Moonen, J.J.M.",2016/03/07,
1276459,Papilionidae,Papilioninae,Leptocircini,Graphium,Pathysa,macareus,macareus,M,"Moonen, J.J.M.",2016/03/07,
1276460,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,helenus ,enganius,M,"Moonen, J.J.M.",2016/03/07,
1276461,Papilionidae,Papilioninae,Leptocircini,Graphium,Pathysa,macareus,macareus,M,"Moonen, J.J.M.",2016/03/07,
1276462,Papilionidae,Papilioninae,Leptocircini,Graphium,Pathysa,macareus,macareus,M,"Moonen, J.J.M.",2016/03/07,
1276463,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,memnon,memnon,F,"Moonen, J.J.M.",2016/03/07,
1276464,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,evemon,evemon,M,"Moonen, J.J.M.",2016/03/07,
1276465,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,evemon,evemon,M,"Moonen, J.J.M.",2016/03/07,
1276466,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/03/07,
1276467,Papilionidae,Papilioninae,Leptocircini,Graphium,Pathysa,antiphates,javanicus,M,"Moonen, J.J.M.",2016/03/07,
1276468,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,helenus ,enganius,M,"Moonen, J.J.M.",2016/03/07,
1276469,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,helenus ,enganius,M,"Moonen, J.J.M.",2016/03/07,
1276470,Papilionidae,Papilioninae,Leptocircini,Graphium,Pathysa,macareus,macareus,M,"Moonen, J.J.M.",2016/03/07,
1276471,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/03/07,
1276472,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,doson,vulso,M,"Moonen, J.J.M.",2016/03/07,
1276473,Papilionidae,Papilioninae,Papilionini,Papilio,Achillides,paris,gedeensis,M,"Moonen, J.J.M.",2016/03/07,
1276474,Papilionidae,Papilioninae,Papilionini,Papilio,Achillides,paris,gedeensis,M,"Moonen, J.J.M.",2016/03/07,
1276475,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/03/07,
1276476,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/03/07,
1276477,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,evemon,evemon,M,"Moonen, J.J.M.",2016/03/07,
1276478,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,helenus ,enganius,M,"Moonen, J.J.M.",2016/03/07,
1276479,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,agamemnon,agamemnon,M,"Moonen, J.J.M.",2016/03/07,
1276480,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,helenus ,enganius,M,"Moonen, J.J.M.",2016/03/07,
1276481,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,demolion,demolion,M,"Moonen, J.J.M.",2016/03/07,
1276482,Papilionidae,Papilioninae,Leptocircini,Graphium,Pathysa,macareus,macareus,M,"Moonen, J.J.M.",2016/03/07,
1276483,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/03/07,
1276484,Papilionidae,Papilioninae,Papilionini,Papilio,Achillides,paris,gedeensis,M,"Moonen, J.J.M.",2016/03/07,
1276485,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,evemon,evemon,M,"Moonen, J.J.M.",2016/03/07,
1276486,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,evemon,evemon,M,"Moonen, J.J.M.",2016/03/07,
1276487,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/03/07,
1276488,Papilionidae,Papilioninae,Leptocircini,Graphium,Pathysa,antiphates,javanicus,M,"Moonen, J.J.M.",2016/03/07,
1276489,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,memnon,memnon,M,"Moonen, J.J.M.",2016/03/07,
1276490,Papilionidae,Papilioninae,Leptocircini,Graphium,Pathysa,macareus,macareus,M,"Moonen, J.J.M.",2016/03/07,
1276491,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,helenus ,enganius,M,"Moonen, J.J.M.",2016/03/07,
1276492,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,evemon,evemon,M,"Moonen, J.J.M.",2016/03/07,
1276493,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,doson,vulso,M,"Moonen, J.J.M.",2016/03/07,
1276494,Papilionidae,Papilioninae,Papilionini,Papilio,Achillides,paris,gedeensis,M,"Moonen, J.J.M.",2016/03/07,
1276495,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,helenus ,enganius,F,"Moonen, J.J.M.",2016/03/07,
1276496,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,helenus ,enganius,M,"Moonen, J.J.M.",2016/03/07,
1276497,Papilionidae,Papilioninae,Papilionini,Papilio,Achillides,paris,gedeensis,M,"Moonen, J.J.M.",2016/03/07,
1276498,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,evemon,evemon,M,"Moonen, J.J.M.",2016/03/07,
1276674,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/03/07,
1276675,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/03/07,
1276676,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/03/07,
1276677,Papilionidae,Papilioninae,Papilionini,Papilio,Achillides,paris,gedeensis,M,"Moonen, J.J.M.",2016/03/07,
1276678,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,evemon,evemon,M,"Moonen, J.J.M.",2016/03/07,
1276679,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,doson,vulso,M,"Moonen, J.J.M.",2016/03/07,
1276680,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/03/08,
1276681,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,doson,vulso,M,"Moonen, J.J.M.",2016/03/08,
1276682,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/03/08,
1276683,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/03/08,
1276684,Papilionidae,Papilioninae,Leptocircini,Graphium,Pathysa,macareus,macareus,M,"Moonen, J.J.M.",2016/03/08,
1276685,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/03/08,
1276686,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,nephelus,nephelus,M,"Moonen, J.J.M.",2016/03/08,
1276687,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,polytes,javanus,F,"Moonen, J.J.M.",2016/03/08,
1276688,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,memnon,memnon,F,"Moonen, J.J.M.",2016/03/08,
1276689,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,polytes,javanus,F,"Moonen, J.J.M.",2016/03/08,tails broken off
1276690,Papilionidae,Papilioninae,Papilionini,Papilio,Achillides,paris,gedeensis,M,"Moonen, J.J.M.",2016/03/08,
1276691,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/03/08,
1276692,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,helenus ,enganius,M,"Moonen, J.J.M.",2016/03/08,
1276693,Papilionidae,Papilioninae,Troidini,Atrophaneura,Losaria,coon,coon,M,"Moonen, J.J.M.",2016/03/08,
1276694,Papilionidae,Papilioninae,Troidini,Troides,,,,M,"Moonen, J.J.M.",2016/03/08,amphrysus?? Need to check
1276695,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,helenus ,enganius,M,"Moonen, J.J.M.",2016/03/08,
1276696,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,demolion,demolion,M,"Moonen, J.J.M.",2016/03/08,
1276697,Papilionidae,Papilioninae,Troidini,Atrophaneura,Losaria,coon,coon,F,"Moonen, J.J.M.",2016/03/08,
1276698,Papilionidae,Papilioninae,Leptocircini,Lamproptera,,curius,curius,M,"Moonen, J.J.M.",2016/03/08,
1276699,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,helenus ,enganius,F,"Moonen, J.J.M.",2016/03/08,
1276700,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,helenus ,enganius,M,"Moonen, J.J.M.",2016/03/08,
1276701,Papilionidae,Papilioninae,Papilionini,Papilio,Achillides,peranthus,peranthus,M,"Moonen, J.J.M.",2016/03/08,
1276702,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/03/08,
1276703,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,memnon,memnon,M,"Moonen, J.J.M.",2016/03/08,
1276704,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,demolion,demolion,M,"Moonen, J.J.M.",2016/03/08,
1276705,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,polytes,javanus,F,"Moonen, J.J.M.",2016/03/08,
1276706,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,helenus ,enganius,M,"Moonen, J.J.M.",2016/03/08,
1276707,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,polytes,javanus,F,"Moonen, J.J.M.",2016/03/08,
1276708,Papilionidae,Papilioninae,Papilionini,Papilio,Achillides,paris,gedeensis,M,"Moonen, J.J.M.",2016/03/08,
1276709,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,memnon,memnon,M,"Moonen, J.J.M.",2016/03/08,
1276710,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/03/08,
