ID	genus (exp.)	section (exp.)	species (exp.)	genus (class.)	section (class.)	species (class.)	Match
2	Cypripedium	Flabellinervia	formosanum			japonicum	-
517	Paphiopedilum	Barbata	wardii	Paphiopedilum	Paphiopedilum		-
518	Paphiopedilum	Barbata	wardii	Paphiopedilum	Barbata		-
7	Cypripedium	Flabellinervia	japonicum	Phragmipedium, Cypripedium		formosanum	-
8	Cypripedium	Flabellinervia	japonicum	Paphiopedilum	Arietinum	japonicum	-
521	Paphiopedilum	Barbata	wardii		Barbata		-
1035	Selenipedium	Selenipedium	palmifolium	Paphiopedilum	Selenipedium	palmifolium	-
14	Cypripedium	Bifolia	guttatum	Mexipedium, Paphiopedilum		guttatum	-
15	Cypripedium	Bifolia	guttatum	Cypripedium		guttatum	-
1044	Phragmipedium	Micropetalum	besseae	Paphiopedilum		besseae	-
1045	Phragmipedium	Micropetalum	besseae			besseae	-
1046	Phragmipedium	Micropetalum	besseae			besseae, fischeri	-
25	Cypripedium	Cypripedium	calcicola	Paphiopedilum	Cypripedium	shanxiense	-
26	Cypripedium	Cypripedium	calcicola	Cypripedium			-
27	Cypripedium	Cypripedium	calcicola	Cypripedium	Cypripedium	tibeticum	-
542	Paphiopedilum	Parvisepalum	micranthum	Cypripedium, Paphiopedilum, Phragmipedium		micranthum	-
543	Paphiopedilum	Parvisepalum	micranthum	Paphiopedilum	Parvisepalum	micranthum	+
544	Paphiopedilum	Parvisepalum	micranthum	Paphiopedilum	Parvisepalum	micranthum	+
33	Cypripedium	Cypripedium	parviflorum	Cypripedium, Paphiopedilum			-
546	Paphiopedilum	Parvisepalum	micranthum			micranthum	-
547	Paphiopedilum	Parvisepalum	micranthum	Paphiopedilum		micranthum	-
548	Paphiopedilum	Parvisepalum	micranthum		Parvisepalum	micranthum	-
37	Cypripedium	Cypripedium	farreri	Paphiopedilum	Trigonopedia	tibeticum	-
550	Paphiopedilum	Parvisepalum	micranthum	Cypripedium, Paphiopedilum	Parvisepalum	micranthum	+
551	Paphiopedilum	Parvisepalum	micranthum	Mexipedium, Selenipedium		micranthum	-
1064	Phragmipedium	Micropetalum	schlimii	Paphiopedilum	Micropetalum	schlimii	-
1065	Phragmipedium	Micropetalum	schlimii				-
1066	Phragmipedium	Micropetalum	schlimii	Phragmipedium	Micropetalum	schlimii	+
519	Paphiopedilum	Barbata	wardii	Paphiopedilum	Barbata		-
45	Cypripedium	Cypripedium	tibeticum	Paphiopedilum	Cypripedium	shanxiense	-
46	Cypripedium	Cypripedium	tibeticum	Cypripedium			-
47	Cypripedium	Cypripedium	tibeticum	Paphiopedilum	Cypripedium	tibeticum	-
48	Cypripedium	Cypripedium	tibeticum	Paphiopedilum		tibeticum	-
49	Cypripedium	Cypripedium	tibeticum	Paphiopedilum		tibeticum	-
691	Paphiopedilum	Paphiopedilum	fairrieanum	Paphiopedilum	Paphiopedilum, Coryopedilum	fairrieanum	+
1078	Phragmipedium	Lorifolia	pearcei	Paphiopedilum	Phragmipedium	longifolium	-
1079	Phragmipedium	Lorifolia	pearcei	Phragmipedium	Lorifolia	longifolium	-
62	Cypripedium	Cypripedium	shanxiense	Paphiopedilum	Cypripedium	shanxiense	-
63	Cypripedium	Cypripedium	shanxiense	Paphiopedilum	Cypripedium	farreri	-
864	Paphiopedilum	Brachypetalum	concolor	Paphiopedilum		concolor	-
578	Paphiopedilum	Parvisepalum	armeniacum	Paphiopedilum	Parvisepalum	armeniacum	+
579	Paphiopedilum	Parvisepalum	armeniacum	Paphiopedilum, Cypripedium	Parvisepalum	armeniacum	+
580	Paphiopedilum	Parvisepalum	armeniacum	Paphiopedilum	Parvisepalum	armeniacum	+
581	Paphiopedilum	Parvisepalum	armeniacum	Paphiopedilum	Parvisepalum	armeniacum	+
582	Paphiopedilum	Parvisepalum	armeniacum	Paphiopedilum	Parvisepalum	armeniacum, malipoense	+
583	Paphiopedilum	Parvisepalum	armeniacum	Cypripedium, Paphiopedilum, Phragmipedium	Parvisepalum	armeniacum	+
584	Paphiopedilum	Parvisepalum	armeniacum	Paphiopedilum	Parvisepalum		-
76	Cypripedium	Obtusipetala	flavum	Paphiopedilum		flavum	-
77	Cypripedium	Obtusipetala	flavum	Paphiopedilum	Obtusipetala, Arietinum	flavum	-
78	Cypripedium	Obtusipetala	flavum	Paphiopedilum, Phragmipedium		flavum	-
79	Cypripedium	Obtusipetala	flavum			flavum	-
80	Cypripedium	Obtusipetala	flavum	Paphiopedilum		flavum	-
1107	Phragmipedium	Phragmipedium	ritchteri		Phragmipedium	ritchteri	-
1108	Phragmipedium	Phragmipedium	ritchteri	Paphiopedilum	Lorifolia	ritchteri	-
1109	Phragmipedium	Phragmipedium	ritchteri		Lorifolia	warscewiczianum	-
600	Paphiopedilum	Parvisepalum	vietnamense	Paphiopedilum	Parvisepalum	vietnamense	+
601	Paphiopedilum	Parvisepalum	vietnamense	Paphiopedilum	Barbata	vietnamense	-
91	Cypripedium	Arietinum	plectrochilum	Paphiopedilum		plectrochilum	-
98	Cypripedium	Acaulia	acaule	Paphiopedilum		acaule	-
611	Paphiopedilum	Parvisepalum	delenatii	Paphiopedilum	Parvisepalum	emersonii, armeniacum	-
612	Paphiopedilum	Parvisepalum	delenatii	Paphiopedilum	Parvisepalum	delenatii, micranthum	+
958	Paphiopedilum	Pardalopetalum	lowii		Pardalopetalum, Barbata	haynaldianum	-
104	Cypripedium	Trigonopedia	sichuanense	Cypripedium		sichuanense	-
105	Cypripedium	Trigonopedia	sichuanense	Paphiopedilum	Trigonopedia	sichuanense	-
106	Cypripedium	Trigonopedia	sichuanense	Cypripedium	Cypripedium	sichuanense	-
549	Paphiopedilum	Parvisepalum	micranthum	Paphiopedilum	Parvisepalum	micranthum	+
115	Cypripedium	Trigonopedia	fargesii	Cypripedium		sichuanense	-
116	Cypripedium	Trigonopedia	fargesii	Cypripedium		fargesii	-
629	Paphiopedilum	Parvisepalum	malipoense	Paphiopedilum	Parvisepalum	malipoense	+
630	Paphiopedilum	Parvisepalum	malipoense	Paphiopedilum			-
631	Paphiopedilum	Parvisepalum	malipoense	Paphiopedilum	Brachypetalum	malipoense	-
632	Paphiopedilum	Parvisepalum	malipoense	Paphiopedilum		malipoense	-
633	Paphiopedilum	Parvisepalum	malipoense	Paphiopedilum		malipoense	-
123	Cypripedium	Macrantha	franchetii	Paphiopedilum	Macrantha	franchetii	-
874	Paphiopedilum	Brachypetalum	thaianum	Paphiopedilum	Brachypetalum		-
819	Paphiopedilum	Paphiopedilum	barbigerum	Paphiopedilum	Barbata	insigne	-
875	Paphiopedilum	Brachypetalum	thaianum	Paphiopedilum	Brachypetalum		-
133	Cypripedium	Sinopedilum	bardolphianum	Cypripedium	Obtusipetala	bardolphianum	-
134	Cypripedium	Sinopedilum	bardolphianum	Cypripedium	Trigonopedia	bardolphianum	-
135	Cypripedium	Sinopedilum	bardolphianum	Cypripedium	Cypripedium	bardolphianum	-
653	Paphiopedilum	Parvisepalum	emersonii	Paphiopedilum	Parvisepalum	emersonii	+
654	Paphiopedilum	Parvisepalum	emersonii	Paphiopedilum	Parvisepalum		-
143	Mexipedium	Mexipedium	xerophyticum	Paphiopedilum	Mexipedium	xerophyticum	-
656	Paphiopedilum	Parvisepalum	emersonii	Paphiopedilum			-
657	Paphiopedilum	Parvisepalum	emersonii	Paphiopedilum	Brachypetalum	emersonii	-
707	Paphiopedilum	Paphiopedilum	villosum		Paphiopedilum	villosum	-
150	Paphiopedilum	Coryopedilum	adductum				-
151	Paphiopedilum	Coryopedilum	adductum	Cypripedium	Coryopedilum	stonei	-
959	Paphiopedilum	Pardalopetalum	lowii	Paphiopedilum	Pardalopetalum	dianthum	-
159	Paphiopedilum	Coryopedilum	rothschildianum	Paphiopedilum		rothschildianum	-
160	Paphiopedilum	Coryopedilum	rothschildianum	Paphiopedilum		rothschildianum	-
161	Paphiopedilum	Coryopedilum	rothschildianum	Cypripedium	Barbata	wilhelminiae	-
674	Paphiopedilum	Paphiopedilum	insigne	Paphiopedilum	Pardalopetalum	druryi	-
675	Paphiopedilum	Paphiopedilum	insigne	Paphiopedilum	Paphiopedilum	insigne	+
796	Paphiopedilum	Paphiopedilum	gratrixianum	Paphiopedilum		tigrinum, hirsutissimum, druryi	-
174	Paphiopedilum	Coryopedilum	randsii	Paphiopedilum			-
797	Paphiopedilum	Paphiopedilum	gratrixianum	Paphiopedilum	Paphiopedilum	gratrixianum, villosum, barbigerum	+
688	Paphiopedilum	Paphiopedilum	fairrieanum		Paphiopedilum	fairrieanum	-
689	Paphiopedilum	Paphiopedilum	fairrieanum	Paphiopedilum, Phragmipedium		exul, fairrieanum	-
690	Paphiopedilum	Paphiopedilum	fairrieanum	Paphiopedilum	Barbata	fairrieanum	-
627	Paphiopedilum	Parvisepalum	malipoense	Paphiopedilum	Parvisepalum	malipoense	+
180	Paphiopedilum	Coryopedilum	philippinense		Coryopedilum	philippinense	-
181	Paphiopedilum	Coryopedilum	philippinense	Cypripedium	Paphiopedilum	rothschildianum	-
182	Paphiopedilum	Coryopedilum	philippinense	Paphiopedilum		stonei	-
628	Paphiopedilum	Parvisepalum	malipoense	Paphiopedilum	Parvisepalum	malipoense	+
1055	Phragmipedium	Micropetalum	fischeri	Phragmipedium		fischeri, besseae	-
757	Paphiopedilum	Paphiopedilum	helenae	Paphiopedilum	Paphiopedilum	helenae	+
189	Paphiopedilum	Coryopedilum	wilhelminiae	Paphiopedilum	Paphiopedilum	philippinense, rothschildianum	-
703	Paphiopedilum	Paphiopedilum	villosum	Paphiopedilum	Paphiopedilum	villosum	+
704	Paphiopedilum	Paphiopedilum	villosum	Paphiopedilum	Paphiopedilum		-
705	Paphiopedilum	Paphiopedilum	villosum	Paphiopedilum	Paphiopedilum		-
194	Paphiopedilum	Coryopedilum	stonei		Barbata		-
195	Paphiopedilum	Coryopedilum	stonei	Cypripedium	Barbata		-
545	Paphiopedilum	Parvisepalum	micranthum	Mexipedium, Paphiopedilum	Parvisepalum	micranthum	+
200	Paphiopedilum	Coryopedilum	glanduliferum	Paphiopedilum	Barbata		-
201	Paphiopedilum	Coryopedilum	glanduliferum		Pardalopetalum	rothschildianum	-
973	Paphiopedilum	Cochlopetalum	primulinum		Cochlopetalum	primulinum	-
209	Paphiopedilum	Barbata	mastersianum	Paphiopedilum	Barbata		-
210	Paphiopedilum	Barbata	mastersianum	Paphiopedilum		acmodontum	-
723	Paphiopedilum	Paphiopedilum	tigrinum	Paphiopedilum			-
724	Paphiopedilum	Paphiopedilum	tigrinum	Paphiopedilum	Paphiopedilum	tigrinum	+
974	Paphiopedilum	Cochlopetalum	primulinum	Paphiopedilum	Pardalopetalum	primulinum	-
706	Paphiopedilum	Paphiopedilum	villosum	Paphiopedilum	Barbata		-
220	Paphiopedilum	Barbata	barbatum	Paphiopedilum	Coryopedilum	purpuratum	-
221	Paphiopedilum	Barbata	barbatum	Paphiopedilum		barbatum, mastersianum	-
222	Paphiopedilum	Barbata	barbatum	Paphiopedilum	Paphiopedilum	appletonianum	-
223	Paphiopedilum	Barbata	barbatum	Paphiopedilum			-
736	Paphiopedilum	Paphiopedilum	spicerianum	Paphiopedilum	Barbata, Cochlopetalum	insigne	-
737	Paphiopedilum	Paphiopedilum	spicerianum	Paphiopedilum	Paphiopedilum	spicerianum	+
738	Paphiopedilum	Paphiopedilum	spicerianum	Paphiopedilum	Paphiopedilum	spicerianum	+
739	Paphiopedilum	Paphiopedilum	spicerianum	Paphiopedilum, Phragmipedium		insigne	-
740	Paphiopedilum	Paphiopedilum	spicerianum	Paphiopedilum	Barbata		-
806	Paphiopedilum	Paphiopedilum	charlesworthii	Paphiopedilum	Paphiopedilum	charlesworthii	+
234	Paphiopedilum	Barbata	sangii	Paphiopedilum	Barbata	sangii	+
235	Paphiopedilum	Barbata	sangii			appletonianum	-
722	Paphiopedilum	Paphiopedilum	tigrinum	Paphiopedilum		hirsutissimum, tigrinum	-
755	Paphiopedilum	Paphiopedilum	helenae	Paphiopedilum	Paphiopedilum	insigne, helenae	+
244	Paphiopedilum	Barbata	violascens	Paphiopedilum	Barbata		-
245	Paphiopedilum	Barbata	violascens	Paphiopedilum	Barbata, Brachypetalum	javanicum, violascens	+
246	Paphiopedilum	Barbata	violascens	Paphiopedilum	Barbata		-
247	Paphiopedilum	Barbata	violascens	Paphiopedilum	Barbata	violascens, papuanum, boungainvilleanum, argus	+
895	Paphiopedilum	Brachypetalum	niveum	Paphiopedilum	Brachypetalum	niveum	+
768	Paphiopedilum	Paphiopedilum	druryi		Paphiopedilum	exul	-
769	Paphiopedilum	Paphiopedilum	druryi	Paphiopedilum		druryi	-
770	Paphiopedilum	Paphiopedilum	druryi	Paphiopedilum	Paphiopedilum	druryi	+
1067	Phragmipedium	Micropetalum	schlimii	Paphiopedilum	Lorifolia	schlimii	-
260	Paphiopedilum	Barbata	tonsum	Paphiopedilum		tonsum	-
261	Paphiopedilum	Barbata	tonsum		Barbata	tonsum	-
262	Paphiopedilum	Barbata	tonsum	Paphiopedilum	Barbata		-
263	Paphiopedilum	Barbata	tonsum	Paphiopedilum	Paphiopedilum		-
264	Paphiopedilum	Barbata	tonsum	Paphiopedilum	Barbata		-
781	Paphiopedilum	Paphiopedilum	henryanum	Cypripedium	Paphiopedilum	henryanum	-
782	Paphiopedilum	Paphiopedilum	henryanum		Paphiopedilum		-
783	Paphiopedilum	Paphiopedilum	henryanum	Paphiopedilum, Cypripedium	Paphiopedilum, Parvisepalum	henryanum	+
784	Paphiopedilum	Paphiopedilum	henryanum	Paphiopedilum		henryanum, villosum	-
275	Paphiopedilum	Barbata	appletonianum	Paphiopedilum	Barbata		-
276	Paphiopedilum	Barbata	appletonianum	Paphiopedilum, Phragmipedium	Barbata	bullenianum	-
283	Paphiopedilum	Barbata	bullenianum	Paphiopedilum		bullenianum, schoseri, ciliolare	-
284	Paphiopedilum	Barbata	bullenianum	Paphiopedilum		appletonianum, purpuratum, dayanum	-
285	Paphiopedilum	Barbata	bullenianum	Paphiopedilum	Barbata	appletonianum, bullenianum	+
520	Paphiopedilum	Barbata	wardii	Paphiopedilum	Barbata	urbanianum	-
294	Paphiopedilum	Barbata	papuanum	Paphiopedilum	Paphiopedilum	acmodontum	-
295	Paphiopedilum	Barbata	papuanum	Paphiopedilum	Barbata	tonsum	-
808	Paphiopedilum	Paphiopedilum	charlesworthii		Parvisepalum, Coryopedilum	charlesworthii, fairrieanum	-
818	Paphiopedilum	Paphiopedilum	barbigerum	Mexipedium, Selenipedium	Paphiopedilum	exul	-
1101	Phragmipedium	Phragmipedium	warscewiczianum	Paphiopedilum	Phragmipedium	warscewiczianum	-
305	Paphiopedilum	Barbata	urbanianum	Paphiopedilum			-
306	Paphiopedilum	Barbata	urbanianum	Paphiopedilum	Barbata		-
307	Paphiopedilum	Barbata	urbanianum	Paphiopedilum	Barbata		-
308	Paphiopedilum	Barbata	urbanianum	Paphiopedilum		urbanianum	-
309	Paphiopedilum	Barbata	urbanianum		Barbata	boungainvilleanum, ciliolare	-
830	Paphiopedilum	Paphiopedilum	exul	Paphiopedilum	Paphiopedilum	druryi	-
831	Paphiopedilum	Paphiopedilum	exul	Paphiopedilum	Barbata		-
832	Paphiopedilum	Paphiopedilum	exul	Cypripedium, Paphiopedilum		hirsutissimum, druryi, tigrinum	-
833	Paphiopedilum	Paphiopedilum	exul	Paphiopedilum	Paphiopedilum		-
325	Paphiopedilum	Barbata	sukhakulii	Paphiopedilum	Barbata	sukhakulii	+
326	Paphiopedilum	Barbata	sukhakulii	Paphiopedilum	Barbata	acmodontum	-
327	Paphiopedilum	Barbata	sukhakulii	Paphiopedilum	Barbata		-
328	Paphiopedilum	Barbata	sukhakulii	Paphiopedilum	Barbata	sukhakulii	+
329	Paphiopedilum	Barbata	sukhakulii	Paphiopedilum	Barbata		-
845	Paphiopedilum	Paphiopedilum	hirsutissimum	Paphiopedilum	Paphiopedilum		-
846	Paphiopedilum	Paphiopedilum	hirsutissimum	Paphiopedilum			-
847	Paphiopedilum	Paphiopedilum	hirsutissimum	Paphiopedilum		hirsutissimum	-
848	Paphiopedilum	Paphiopedilum	hirsutissimum	Paphiopedilum	Barbata		-
342	Paphiopedilum	Barbata	fowliei	Paphiopedilum	Barbata	fowliei	+
343	Paphiopedilum	Barbata	fowliei	Paphiopedilum			-
344	Paphiopedilum	Barbata	fowliei	Paphiopedilum	Pardalopetalum		-
655	Paphiopedilum	Parvisepalum	emersonii	Paphiopedilum	Parvisepalum	malipoense	-
862	Paphiopedilum	Brachypetalum	concolor	Cypripedium	Brachypetalum	concolor	-
863	Paphiopedilum	Brachypetalum	concolor	Paphiopedilum	Brachypetalum, Paphiopedilum	concolor, godefroyae	+
352	Paphiopedilum	Barbata	ciliolare	Paphiopedilum	Barbata		-
353	Paphiopedilum	Barbata	ciliolare	Paphiopedilum		barbatum	-
795	Paphiopedilum	Paphiopedilum	gratrixianum	Paphiopedilum	Coryopedilum, Paphiopedilum		-
361	Paphiopedilum	Barbata	callosum	Paphiopedilum	Barbata	fowliei	-
362	Paphiopedilum	Barbata	callosum	Paphiopedilum	Paphiopedilum	appletonianum	-
363	Paphiopedilum	Barbata	callosum	Paphiopedilum			-
364	Paphiopedilum	Barbata	callosum	Paphiopedilum		hennisianum, callosum	-
881	Paphiopedilum	Brachypetalum	bellatulum	Paphiopedilum		bellatulum	-
882	Paphiopedilum	Brachypetalum	bellatulum	Paphiopedilum	Brachypetalum		-
883	Paphiopedilum	Brachypetalum	bellatulum	Paphiopedilum		niveum	-
807	Paphiopedilum	Paphiopedilum	charlesworthii			spicerianum	-
376	Paphiopedilum	Barbata	venustum	Paphiopedilum			-
377	Paphiopedilum	Barbata	venustum	Paphiopedilum	Barbata	acmodontum	-
378	Paphiopedilum	Barbata	venustum	Paphiopedilum	Barbata		-
893	Paphiopedilum	Brachypetalum	niveum	Paphiopedilum	Parvisepalum, Brachypetalum		-
894	Paphiopedilum	Brachypetalum	niveum	Paphiopedilum	Pardalopetalum	bellatulum	-
865	Paphiopedilum	Brachypetalum	concolor	Paphiopedilum	Brachypetalum	concolor	+
896	Paphiopedilum	Brachypetalum	niveum	Paphiopedilum	Brachypetalum	godefroyae, niveum	+
897	Paphiopedilum	Brachypetalum	niveum	Paphiopedilum	Brachypetalum	niveum	+
386	Paphiopedilum	Barbata	argus		Barbata		-
387	Paphiopedilum	Barbata	argus	Paphiopedilum			-
388	Paphiopedilum	Barbata	argus	Paphiopedilum	Barbata		-
1089	Phragmipedium	Lorifolia	longifolium			longifolium	-
397	Paphiopedilum	Barbata	boungainvilleanum	Paphiopedilum	Barbata		-
398	Paphiopedilum	Barbata	boungainvilleanum	Paphiopedilum			-
911	Paphiopedilum	Brachypetalum	godefroyae	Paphiopedilum		thaianum	-
912	Paphiopedilum	Brachypetalum	godefroyae	Paphiopedilum	Brachypetalum	godefroyae, niveum	+
913	Paphiopedilum	Brachypetalum	godefroyae	Paphiopedilum		thaianum	-
610	Paphiopedilum	Parvisepalum	delenatii		Brachypetalum, Parvisepalum	delenatii	-
406	Paphiopedilum	Barbata	dayanum	Phragmipedium	Pardalopetalum, Barbata	appletonianum, dayanum, wentworthianum	-
407	Paphiopedilum	Barbata	dayanum	Phragmipedium		argus	-
408	Paphiopedilum	Barbata	dayanum	Paphiopedilum	Barbata	schoseri, bullenianum, dayanum, urbanianum, ciliolare	+
923	Paphiopedilum	Pardalopetalum	dianthum	Paphiopedilum	Paphiopedilum	dianthum	-
924	Paphiopedilum	Pardalopetalum	dianthum	Paphiopedilum	Pardalopetalum		-
1063	Phragmipedium	Micropetalum	schlimii			schlimii	-
417	Paphiopedilum	Barbata	lawrenceanum	Paphiopedilum	Barbata	hennisianum, javanicum, boungainvilleanum	-
418	Paphiopedilum	Barbata	lawrenceanum	Paphiopedilum	Barbata	lawrenceanum	+
419	Paphiopedilum	Barbata	lawrenceanum	Paphiopedilum	Barbata		-
