ID	genus (exp.)	section (exp.)	species (exp.)	genus (class.)	section (class.)	species (class.)	Match
512	Paphiopedilum	Barbata	wardii	Paphiopedilum			-
1	Cypripedium	Flabellinervia	formosanum	Paphiopedilum	Bifolia	formosanum	-
514	Paphiopedilum	Barbata	wardii	Paphiopedilum			-
515	Paphiopedilum	Barbata	wardii	Paphiopedilum	Paphiopedilum	ciliolare	-
516	Paphiopedilum	Barbata	wardii	Paphiopedilum	Barbata	wardii, callosum	+
5	Cypripedium	Flabellinervia	japonicum	Paphiopedilum	Cypripedium	japonicum	-
6	Cypripedium	Flabellinervia	japonicum	Cypripedium	Obtusipetala, Flabellinervia	japonicum	+
513	Paphiopedilum	Barbata	wardii	Paphiopedilum	Barbata		-
684	Paphiopedilum	Paphiopedilum	fairrieanum			fairrieanum, exul	-
1034	Selenipedium	Selenipedium	palmifolium	Cypripedium	Selenipedium	palmifolium	-
12	Cypripedium	Bifolia	guttatum	Paphiopedilum	Bifolia, Cypripedium	guttatum	-
13	Cypripedium	Bifolia	guttatum	Cypripedium	Bifolia	guttatum	+
685	Paphiopedilum	Paphiopedilum	fairrieanum	Paphiopedilum		fairrieanum, insigne	-
1041	Phragmipedium	Micropetalum	besseae	Cypripedium		fischeri	-
1042	Phragmipedium	Micropetalum	besseae	Phragmipedium		besseae, schlimii	-
1043	Phragmipedium	Micropetalum	besseae	Phragmipedium	Micropetalum	besseae, schlimii	+
532	Paphiopedilum	Parvisepalum	micranthum	Selenipedium, Paphiopedilum	Parvisepalum	micranthum, emersonii	+
533	Paphiopedilum	Parvisepalum	micranthum	Cypripedium	Parvisepalum	micranthum	-
22	Cypripedium	Cypripedium	calcicola	Paphiopedilum		calcicola	-
23	Cypripedium	Cypripedium	calcicola	Paphiopedilum	Trigonopedia	calcicola	-
24	Cypripedium	Cypripedium	calcicola	Cypripedium	Cypripedium	tibeticum	-
537	Paphiopedilum	Parvisepalum	micranthum	Cypripedium	Parvisepalum, Cochlopetalum		-
538	Paphiopedilum	Parvisepalum	micranthum	Paphiopedilum	Parvisepalum	micranthum	+
539	Paphiopedilum	Parvisepalum	micranthum	Paphiopedilum	Parvisepalum	malipoense, delenatii	-
540	Paphiopedilum	Parvisepalum	micranthum	Paphiopedilum	Parvisepalum	micranthum	+
541	Paphiopedilum	Parvisepalum	micranthum	Paphiopedilum	Parvisepalum	micranthum	+
1054	Phragmipedium	Micropetalum	fischeri	Cypripedium		schlimii	-
32	Cypripedium	Cypripedium	parviflorum		Sinopedilum	tibeticum	-
1058	Phragmipedium	Micropetalum	schlimii	Phragmipedium	Lorifolia, Micropetalum	schlimii	+
1059	Phragmipedium	Micropetalum	schlimii		Lorifolia	schlimii	-
36	Cypripedium	Cypripedium	farreri	Paphiopedilum		shanxiense	-
1061	Phragmipedium	Micropetalum	schlimii	Phragmipedium, Cypripedium			-
1062	Phragmipedium	Micropetalum	schlimii	Phragmipedium			-
40	Cypripedium	Cypripedium	tibeticum		Trigonopedia	tibeticum	-
41	Cypripedium	Cypripedium	tibeticum	Paphiopedilum	Acaulia, Cypripedium	calcicola	-
42	Cypripedium	Cypripedium	tibeticum	Paphiopedilum	Trigonopedia, Bifolia	farreri, tibeticum	-
43	Cypripedium	Cypripedium	tibeticum	Paphiopedilum		tibeticum	-
44	Cypripedium	Cypripedium	tibeticum	Cypripedium	Cypripedium	calcicola	-
1076	Phragmipedium	Lorifolia	pearcei	Paphiopedilum		longifolium	-
1077	Phragmipedium	Lorifolia	pearcei			pearcei	-
879	Paphiopedilum	Brachypetalum	bellatulum	Cypripedium	Brachypetalum		-
571	Paphiopedilum	Parvisepalum	armeniacum		Parvisepalum	armeniacum	-
60	Cypripedium	Cypripedium	shanxiense	Paphiopedilum	Cypripedium		-
61	Cypripedium	Cypripedium	shanxiense	Paphiopedilum	Sinopedilum	shanxiense	-
574	Paphiopedilum	Parvisepalum	armeniacum	Paphiopedilum	Parvisepalum	armeniacum	+
575	Paphiopedilum	Parvisepalum	armeniacum		Parvisepalum	armeniacum	-
576	Paphiopedilum	Parvisepalum	armeniacum	Paphiopedilum	Parvisepalum	armeniacum	+
577	Paphiopedilum	Parvisepalum	armeniacum		Parvisepalum	armeniacum	-
71	Cypripedium	Obtusipetala	flavum	Paphiopedilum	Obtusipetala	flavum	-
72	Cypripedium	Obtusipetala	flavum	Cypripedium	Obtusipetala	flavum	+
73	Cypripedium	Obtusipetala	flavum	Paphiopedilum, Phragmipedium	Obtusipetala, Flabellinervia	flavum	-
74	Cypripedium	Obtusipetala	flavum		Flabellinervia	flavum	-
75	Cypripedium	Obtusipetala	flavum	Paphiopedilum	Obtusipetala	flavum	-
1100	Phragmipedium	Phragmipedium	warscewiczianum	Paphiopedilum		warscewiczianum	-
